id,journal_text,ambience_type,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,face_emotion_hint,reflection_quality,emotional_state,intensity
32,I wasn't expecting much but the mountain session made me feel quiet inside.,mountain,10,8,3,2,evening,neutral,calm_face,vague,calm,4
33,I feel mentally clear after the cafe session and ready to tackle one thing at a time.,cafe,25,7,4,2,morning,calm,neutral_face,clear,focused,2
34,The ocean session was okay. I don't feel much different just a bit more aware.,ocean,25,6,4,4,night,restless,neutral_face,clear,neutral,2
35,The rain ambience helped me stop drifting and concentrate on my next steps.,rain,15,4,1,,morning,mixed,calm_face,vague,focused,3
36,The forest session was okay. I don't feel much different just a bit more aware.,forest,12,6.5,4,3,afternoon,neutral,,clear,neutral,2
37,I feel both comforted and distracted after the cafe ambience. It's like two moods are sitting together.,cafe,25,5,2,5,evening,focused,neutral_face,vague,mixed,4
38,I wanted the mountain to calm me but today my stress feels bigger than the session.,mountain,10,5,1,5,morning,,neutral_face,conflicted,overwhelmed,5
39,I feel lighter after the cafe sounds like my mind finally softened.,cafe,20,7,4,1,evening,focused,calm_face,clear,calm,2
40,The rain track was fine. I feel steady not especially better or worse.,rain,20,7.5,3,2,afternoon,overwhelmed,neutral_face,clear,neutral,1
41,The rain ambience was pleasant though I can't say it shifted my mood much.,rain,8,7.5,3,2,morning,overwhelmed,calm_face,conflicted,neutral,2
42,I feel both comforted and distracted after the mountain ambience.,mountain,15,5.5,3,3,morning,restless,neutral_face,conflicted,mixed,4
43,The mountain ambience helped me stop drifting and concentrate on my next steps.,mountain,8,7,3,2,evening,calm,,vague,focused,2
44,I tried to relax during the mountain ambience yet my thoughts kept racing.,mountain,18,4.5,4,5,morning,calm,neutral_face,conflicted,restless,3
45,The cafe sounds were nice but I still feel unsettled and fidgety.,cafe,10,5,3,4,evening,mixed,happy_face,clear,restless,4
46,The mountain track helped a little though something still feels off underneath.,mountain,20,7,4,2,morning,neutral,,clear,mixed,2
47,The cafe session slowed my thoughts and I feel more settled now.,cafe,12,7,2,2,afternoon,focused,happy_face,clear,calm,4
48,I noticed the ocean sounds but emotionally I still feel mostly the same.,ocean,18,7.5,3,3,morning,neutral,,clear,neutral,1
49,i feel lighter after the ocean sounds like my mind finally softened.,ocean,25,7.5,4,1,morning,mixed,,clear,calm,4
50,Even with the cafe session my mind kept jumping between tasks.,cafe,15,5.5,4,5,evening,focused,tense_face,clear,restless,4
51,Nothing strong came up during the forest session; I feel fairly normal.,forest,3,6.5,3,2,morning,mixed,,clear,neutral,2
52,I liked the ocean session but my mood is still split between calm and tension.,ocean,12,6,3,3,evening,restless,calm_face,conflicted,mixed,4
53,I feel lighter after the ocean sounds like my mind finally softened.,ocean,10,7.5,4,2,morning,,neutral_face,conflicted,calm,4
54,The ocean session wasn't enough today; everything still feels heavy and too much.,ocean,25,4.5,2,4,night,focused,,vague,overwhelmed,5
55,I feel lighter after the cafe sounds like my mind finally softened.,cafe,15,6,4,2,afternoon,overwhelmed,happy_face,vague,calm,4
56,After the forest track I feel peaceful and less pulled in every direction.,forest,20,6.5,4,2,afternoon,neutral,calm_face,clear,calm,3
57,I feel lighter after the rain sounds like my mind finally softened.,rain,20,6,3,2,morning,neutral,,clear,calm,3
58,The forest sounds were nice but I still feel unsettled and fidgety.,forest,12,6,3,3,morning,overwhelmed,tired_face,clear,restless,5
59,The mountain ambience helped me stop drifting and concentrate on my next steps.,mountain,8,7,3,3,afternoon,mixed,calm_face,clear,focused,3
60,The mountain ambience was pleasant though I can't say it shifted my mood much.,mountain,25,7,3,3,morning,restless,happy_face,clear,neutral,3
61,Even with the ocean session my mind kept jumping between tasks.,ocean,12,5,3,4,night,neutral,neutral_face,conflicted,restless,3
62,After the rain sounds I feel better than before but not completely okay.,rain,15,5.5,3,4,morning,neutral,,conflicted,mixed,4
63,The mountain session wasn't enough today; everything still feels heavy and too much.,mountain,18,4.5,1,5,evening,restless,,clear,overwhelmed,5
64,The ocean background made it easier to organize my thoughts and work plan.,ocean,20,4,1,,morning,focused,happy_face,conflicted,focused,2
65,after the mountain sounds i feel better than before but not completely okay.,mountain,20,4.5,3,4,afternoon,,neutral_face,vague,mixed,2
66,After the mountain track I feel peaceful and less pulled in every direction.,mountain,12,8,2,2,morning,restless,neutral_face,clear,calm,4
67,The cafe session helped a little though I still feel pulled in too many directions.,cafe,20,5,4,5,morning,neutral,tense_face,clear,restless,4
68,The cafe background made it easier to organize my thoughts and work plan.,cafe,18,3,,3,morning,neutral,neutral_face,conflicted,focused,4
69,I sat through the cafe ambience but I still feel flooded by what I need to do.,cafe,3,4.5,2,5,night,restless,tired_face,clear,overwhelmed,5
70,I feel lighter after the forest sounds like my mind finally softened.,forest,10,7,3,2,afternoon,neutral,neutral_face,clear,calm,3
71,I sat through the cafe ambience but I still feel flooded by what I need to do.,cafe,8,6,2,4,afternoon,neutral,tense_face,clear,overwhelmed,5
72,i sat through the mountain ambience but i still feel flooded by what i need to do.,mountain,18,3.5,3,5,night,neutral,tense_face,clear,overwhelmed,4
73,I noticed the ocean sounds but emotionally I still feel mostly the same.,ocean,12,5.5,2,3,morning,calm,neutral_face,clear,neutral,1
74,Nothing strong came up during the forest session; I feel fairly normal.,forest,12,7,3,4,night,restless,neutral_face,clear,neutral,1
75,I couldn't really settle into the rain track; I kept thinking of everything at once.,rain,20,4.5,4,3,evening,overwhelmed,tense_face,vague,restless,4
76,The cafe ambience was pleasant though I can't say it shifted my mood much.,cafe,30,6.5,4,3,night,restless,neutral_face,conflicted,neutral,2
77,After the forest sounds I feel better than before but not completely okay.,forest,18,4.5,2,2,evening,restless,calm_face,clear,mixed,3
78,After the cafe sounds I feel better than before but not completely okay.,cafe,8,6.5,3,3,evening,calm,tense_face,clear,mixed,3
79,I feel both comforted and distracted after the mountain ambience.,mountain,12,6,4,2,morning,restless,neutral_face,vague,mixed,3
80,the cafe ambience helped me stop drifting and concentrate on my next steps.,cafe,25,5.5,5,2,night,mixed,,conflicted,focused,3
81,I feel lighter after the mountain sounds like my mind finally softened.,mountain,12,3,,2,morning,focused,neutral_face,clear,calm,3
82,I came in distracted but I left the rain session with a sharper mind.,rain,25,6,5,2,evening,calm,neutral_face,clear,focused,4
83,I started scattered but the ocean session helped me lock in on what matters.,ocean,15,7.5,3,2,afternoon,calm,neutral_face,clear,focused,4
84,I feel lighter after the ocean sounds like my mind finally softened.,ocean,35,8,3,3,morning,focused,calm_face,conflicted,calm,3
85,Even after the forest track I feel exhausted and emotionally overloaded.,forest,8,5.5,2,5,afternoon,neutral,tired_face,clear,overwhelmed,5
86,The forest session slowed my thoughts and I feel more settled now.,forest,10,6.5,4,3,evening,calm,,clear,calm,2
87,The forest session made me calmer but part of me still feels uneasy.,forest,8,4.5,4,4,night,focused,tense_face,clear,mixed,3
88,I noticed the rain sounds but emotionally I still feel mostly the same.,rain,20,6,3,3,evening,calm,neutral_face,vague,neutral,1
89,Even with the mountain session my mind kept jumping between tasks.,mountain,15,6.5,3,4,morning,calm,tense_face,clear,restless,4
90,I couldn't really settle into the cafe track; I kept thinking of everything at once.,cafe,8,6.5,2,5,morning,overwhelmed,neutral_face,conflicted,restless,4
91,The cafe track was fine. I feel steady not especially better or worse.,cafe,20,7,3,3,evening,neutral,neutral_face,clear,neutral,1
92,The forest track was fine I feel steady not especially better or worse.,forest,15,5.5,2,3,morning,overwhelmed,neutral_face,vague,neutral,1
93,Even with the cafe session my mind kept jumping between tasks.,cafe,10,5,3,5,morning,restless,tired_face,conflicted,restless,4
94,I tried to relax during the rain ambience yet my thoughts kept racing.,rain,20,6,3,4,morning,overwhelmed,,conflicted,restless,4
95,I noticed the rain sounds but emotionally I still feel mostly the same.,rain,30,6.5,3,3,night,overwhelmed,neutral_face,conflicted,neutral,2
96,I couldn't really settle into the forest track; I kept thinking of everything at once.,forest,35,6,3,3,afternoon,restless,neutral_face,clear,restless,4
97,The mountain session made me calmer but part of me still feels uneasy.,mountain,15,6,3,3,afternoon,neutral,neutral_face,clear,mixed,2
98,The ocean session helped a little though I still feel pulled in too many directions.,ocean,20,4.5,2,5,afternoon,mixed,neutral_face,clear,restless,4
99,I feel mentally clear after the rain session and ready to tackle one thing at a time.,rain,18,6,4,1,evening,overwhelmed,neutral_face,clear,focused,2
100,The forest track helped a little though something still feels off underneath.,forest,10,5.5,4,2,evening,calm,neutral_face,clear,mixed,2
101,After the forest sounds I feel better than before but not completely okay.,forest,15,7,2,2,afternoon,restless,,clear,mixed,4
102,I feel lighter after the forest sounds like my mind finally softened.,forest,12,7,3,1,afternoon,neutral,,clear,calm,2
103,I tried to relax during the mountain ambience yet my thoughts kept racing.,mountain,12,6,3,3,night,restless,tense_face,conflicted,restless,3
104,After the rain track I feel peaceful and less pulled in every direction.,rain,15,8,3,2,morning,calm,neutral_face,conflicted,calm,3
105,The rain session wasn't enough today; everything still feels heavy and too much.,rain,15,5.5,2,5,night,calm,,conflicted,overwhelmed,4
106,Even with the cafe session my mind kept jumping between tasks.,cafe,35,5.5,3,3,morning,,tense_face,vague,restless,5
107,The ocean ambience helped me stop drifting and concentrate on my next steps.,ocean,12,7,4,2,morning,restless,calm_face,vague,focused,3
108,I liked the cafe session but my mood is still split between calm and tension.,cafe,18,7,3,4,night,calm,neutral_face,vague,mixed,4
109,I wasn't expecting much but the forest session made me feel quiet inside.,forest,25,7.5,3,3,morning,focused,happy_face,clear,calm,3
110,I came in distracted but I left the cafe session with a sharper mind.,cafe,15,7,3,2,evening,calm,happy_face,vague,focused,3
111,After the forest sounds I feel better than before but not completely okay.,forest,25,5,2,3,morning,neutral,calm_face,clear,mixed,2
112,After the rain track I feel peaceful and less pulled in every direction.,rain,10,6.5,4,1,morning,calm,calm_face,clear,calm,3
113,I wanted the mountain to calm me but today my stress feels bigger than the session.,mountain,20,4.5,1,4,morning,,tired_face,conflicted,overwhelmed,4
114,I feel lighter after the mountain sounds like my mind finally softened.,mountain,25,6,4,3,night,overwhelmed,calm_face,clear,calm,4
