id,journal_text,ambience_type,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,face_emotion_hint,reflection_quality,emotional_state,intensity,word_count,quality_weight
18,The mountain session gave me a pause but the pressure is still sitting hard on me.,mountain,15,5.5,3.0,5.0,morning,overwhelmed,tired_face,vague,overwhelmed,4,16,3.0
19,I feel mentally clear after the mountain session and ready to tackle one thing at a time.,mountain,8,7.5,3.0,2.0,night,focused,neutral_face,clear,focused,4,17,3.0
20,I started scattered but the ocean session helped me lock in on what matters.,ocean,15,7.0,4.0,2.0,afternoon,calm,tense_face,clear,focused,2,14,3.0
21,The mountain session made me calmer but part of me still feels uneasy.,mountain,15,5.0,2.0,2.0,afternoon,calm,happy_face,clear,mixed,3,13,3.0
22,The cafe session wasn't enough today; everything still feels heavy and too much.,cafe,12,2.0,,4.0,afternoon,focused,tired_face,conflicted,overwhelmed,4,13,3.0
23,even after the forest track i feel exhausted and emotionally overloaded.,forest,18,5.5,2.0,4.0,morning,focused,tense_face,vague,overwhelmed,5,11,2.0
24,I liked the ocean session but my mood is still split between calm and tension.,ocean,20,7.0,4.0,4.0,afternoon,focused,tense_face,clear,mixed,4,15,3.0
25,Even after the mountain track I feel exhausted and emotionally overloaded.,mountain,12,3.5,2.0,5.0,night,mixed,tense_face,vague,overwhelmed,4,11,2.0
26,The forest session was okay I don't feel much different just a bit more aware.,forest,10,7.5,3.0,3.0,night,overwhelmed,calm_face,clear,neutral,2,15,3.0
27,I started scattered but the cafe session helped me lock in on what matters.,cafe,25,7.5,4.0,1.0,night,overwhelmed,neutral_face,clear,focused,4,14,3.0
28,The cafe ambience helped me breathe slower and let go of some pressure.,cafe,8,6.5,4.0,1.0,morning,neutral,,clear,calm,3,13,3.0
29,The mountain background made it easier to organize my thoughts and work plan.,mountain,25,7.5,5.0,2.0,night,restless,happy_face,clear,focused,4,13,3.0
30,I wasn't expecting much but the rain session made me feel quiet inside.,rain,25,6.0,4.0,2.0,morning,focused,neutral_face,clear,calm,2,13,3.0
31,I wanted the ocean to calm me but today my stress feels bigger than the session.,ocean,18,6.0,2.0,5.0,afternoon,mixed,,conflicted,overwhelmed,5,16,3.0
32,I wasn't expecting much but the mountain session made me feel quiet inside.,mountain,10,8.0,3.0,2.0,evening,neutral,calm_face,vague,calm,4,13,3.0
33,I feel mentally clear after the cafe session and ready to tackle one thing at a time.,cafe,25,7.0,4.0,2.0,morning,calm,neutral_face,clear,focused,2,17,3.0
34,The ocean session was okay. I don't feel much different just a bit more aware.,ocean,25,6.0,4.0,4.0,night,restless,neutral_face,clear,neutral,2,15,3.0
35,The rain ambience helped me stop drifting and concentrate on my next steps.,rain,15,4.0,1.0,,morning,mixed,calm_face,vague,focused,3,13,3.0
36,The forest session was okay. I don't feel much different just a bit more aware.,forest,12,6.5,4.0,3.0,afternoon,neutral,,clear,neutral,2,15,3.0
37,I feel both comforted and distracted after the cafe ambience. It's like two moods are sitting together.,cafe,25,5.0,2.0,5.0,evening,focused,neutral_face,vague,mixed,4,17,3.0
38,I wanted the mountain to calm me but today my stress feels bigger than the session.,mountain,10,5.0,1.0,5.0,morning,,neutral_face,conflicted,overwhelmed,5,16,3.0
39,I feel lighter after the cafe sounds like my mind finally softened.,cafe,20,7.0,4.0,1.0,evening,focused,calm_face,clear,calm,2,12,3.0
40,The rain track was fine. I feel steady not especially better or worse.,rain,20,7.5,3.0,2.0,afternoon,overwhelmed,neutral_face,clear,neutral,1,13,3.0
41,The rain ambience was pleasant though I can't say it shifted my mood much.,rain,8,7.5,3.0,2.0,morning,overwhelmed,calm_face,conflicted,neutral,2,14,3.0
42,I feel both comforted and distracted after the mountain ambience.,mountain,15,5.5,3.0,3.0,morning,restless,neutral_face,conflicted,mixed,4,10,2.0
43,The mountain ambience helped me stop drifting and concentrate on my next steps.,mountain,8,7.0,3.0,2.0,evening,calm,,vague,focused,2,13,3.0
44,I tried to relax during the mountain ambience yet my thoughts kept racing.,mountain,18,4.5,4.0,5.0,morning,calm,neutral_face,conflicted,restless,3,13,3.0
45,The cafe sounds were nice but I still feel unsettled and fidgety.,cafe,10,5.0,3.0,4.0,evening,mixed,happy_face,clear,restless,4,12,3.0
46,The mountain track helped a little though something still feels off underneath.,mountain,20,7.0,4.0,2.0,morning,neutral,,clear,mixed,2,12,3.0
47,The cafe session slowed my thoughts and I feel more settled now.,cafe,12,7.0,2.0,2.0,afternoon,focused,happy_face,clear,calm,4,12,3.0
48,I noticed the ocean sounds but emotionally I still feel mostly the same.,ocean,18,7.5,3.0,3.0,morning,neutral,,clear,neutral,1,13,3.0
49,i feel lighter after the ocean sounds like my mind finally softened.,ocean,25,7.5,4.0,1.0,morning,mixed,,clear,calm,4,12,3.0
50,Even with the cafe session my mind kept jumping between tasks.,cafe,15,5.5,4.0,5.0,evening,focused,tense_face,clear,restless,4,11,2.0
51,Nothing strong came up during the forest session; I feel fairly normal.,forest,3,6.5,3.0,2.0,morning,mixed,,clear,neutral,2,12,3.0
52,I liked the ocean session but my mood is still split between calm and tension.,ocean,12,6.0,3.0,3.0,evening,restless,calm_face,conflicted,mixed,4,15,3.0
53,I feel lighter after the ocean sounds like my mind finally softened.,ocean,10,7.5,4.0,2.0,morning,,neutral_face,conflicted,calm,4,12,3.0
54,The ocean session wasn't enough today; everything still feels heavy and too much.,ocean,25,4.5,2.0,4.0,night,focused,,vague,overwhelmed,5,13,3.0
55,I feel lighter after the cafe sounds like my mind finally softened.,cafe,15,6.0,4.0,2.0,afternoon,overwhelmed,happy_face,vague,calm,4,12,3.0
56,After the forest track I feel peaceful and less pulled in every direction.,forest,20,6.5,4.0,2.0,afternoon,neutral,calm_face,clear,calm,3,13,3.0
57,I feel lighter after the rain sounds like my mind finally softened.,rain,20,6.0,3.0,2.0,morning,neutral,,clear,calm,3,12,3.0
58,The forest sounds were nice but I still feel unsettled and fidgety.,forest,12,6.0,3.0,3.0,morning,overwhelmed,tired_face,clear,restless,5,12,3.0
59,The mountain ambience helped me stop drifting and concentrate on my next steps.,mountain,8,7.0,3.0,3.0,afternoon,mixed,calm_face,clear,focused,3,13,3.0
60,The mountain ambience was pleasant though I can't say it shifted my mood much.,mountain,25,7.0,3.0,3.0,morning,restless,happy_face,clear,neutral,3,14,3.0
61,Even with the ocean session my mind kept jumping between tasks.,ocean,12,5.0,3.0,4.0,night,neutral,neutral_face,conflicted,restless,3,11,2.0
62,After the rain sounds I feel better than before but not completely okay.,rain,15,5.5,3.0,4.0,morning,neutral,,conflicted,mixed,4,13,3.0
63,The mountain session wasn't enough today; everything still feels heavy and too much.,mountain,18,4.5,1.0,5.0,evening,restless,,clear,overwhelmed,5,13,3.0
64,The ocean background made it easier to organize my thoughts and work plan.,ocean,20,4.0,1.0,,morning,focused,happy_face,conflicted,focused,2,13,3.0
65,after the mountain sounds i feel better than before but not completely okay.,mountain,20,4.5,3.0,4.0,afternoon,,neutral_face,vague,mixed,2,13,3.0
66,After the mountain track I feel peaceful and less pulled in every direction.,mountain,12,8.0,2.0,2.0,morning,restless,neutral_face,clear,calm,4,13,3.0
67,The cafe session helped a little though I still feel pulled in too many directions.,cafe,20,5.0,4.0,5.0,morning,neutral,tense_face,clear,restless,4,15,3.0
68,The cafe background made it easier to organize my thoughts and work plan.,cafe,18,3.0,,3.0,morning,neutral,neutral_face,conflicted,focused,4,13,3.0
69,I sat through the cafe ambience but I still feel flooded by what I need to do.,cafe,3,4.5,2.0,5.0,night,restless,tired_face,clear,overwhelmed,5,17,3.0
70,I feel lighter after the forest sounds like my mind finally softened.,forest,10,7.0,3.0,2.0,afternoon,neutral,neutral_face,clear,calm,3,12,3.0
71,I sat through the cafe ambience but I still feel flooded by what I need to do.,cafe,8,6.0,2.0,4.0,afternoon,neutral,tense_face,clear,overwhelmed,5,17,3.0
72,i sat through the mountain ambience but i still feel flooded by what i need to do.,mountain,18,3.5,3.0,5.0,night,neutral,tense_face,clear,overwhelmed,4,17,3.0
73,I noticed the ocean sounds but emotionally I still feel mostly the same.,ocean,12,5.5,2.0,3.0,morning,calm,neutral_face,clear,neutral,1,13,3.0
74,Nothing strong came up during the forest session; I feel fairly normal.,forest,12,7.0,3.0,4.0,night,restless,neutral_face,clear,neutral,1,12,3.0
75,I couldn't really settle into the rain track; I kept thinking of everything at once.,rain,20,4.5,4.0,3.0,evening,overwhelmed,tense_face,vague,restless,4,15,3.0
76,The cafe ambience was pleasant though I can't say it shifted my mood much.,cafe,30,6.5,4.0,3.0,night,restless,neutral_face,conflicted,neutral,2,14,3.0
77,After the forest sounds I feel better than before but not completely okay.,forest,18,4.5,2.0,2.0,evening,restless,calm_face,clear,mixed,3,13,3.0
78,After the cafe sounds I feel better than before but not completely okay.,cafe,8,6.5,3.0,3.0,evening,calm,tense_face,clear,mixed,3,13,3.0
79,I feel both comforted and distracted after the mountain ambience.,mountain,12,6.0,4.0,2.0,morning,restless,neutral_face,vague,mixed,3,10,2.0
80,the cafe ambience helped me stop drifting and concentrate on my next steps.,cafe,25,5.5,5.0,2.0,night,mixed,,conflicted,focused,3,13,3.0
81,I feel lighter after the mountain sounds like my mind finally softened.,mountain,12,3.0,,2.0,morning,focused,neutral_face,clear,calm,3,12,3.0
82,I came in distracted but I left the rain session with a sharper mind.,rain,25,6.0,5.0,2.0,evening,calm,neutral_face,clear,focused,4,14,3.0
83,I started scattered but the ocean session helped me lock in on what matters.,ocean,15,7.5,3.0,2.0,afternoon,calm,neutral_face,clear,focused,4,14,3.0
84,I feel lighter after the ocean sounds like my mind finally softened.,ocean,35,8.0,3.0,3.0,morning,focused,calm_face,conflicted,calm,3,12,3.0
85,Even after the forest track I feel exhausted and emotionally overloaded.,forest,8,5.5,2.0,5.0,afternoon,neutral,tired_face,clear,overwhelmed,5,11,2.0
86,The forest session slowed my thoughts and I feel more settled now.,forest,10,6.5,4.0,3.0,evening,calm,,clear,calm,2,12,3.0
87,The forest session made me calmer but part of me still feels uneasy.,forest,8,4.5,4.0,4.0,night,focused,tense_face,clear,mixed,3,13,3.0
88,I noticed the rain sounds but emotionally I still feel mostly the same.,rain,20,6.0,3.0,3.0,evening,calm,neutral_face,vague,neutral,1,13,3.0
89,Even with the mountain session my mind kept jumping between tasks.,mountain,15,6.5,3.0,4.0,morning,calm,tense_face,clear,restless,4,11,2.0
90,I couldn't really settle into the cafe track; I kept thinking of everything at once.,cafe,8,6.5,2.0,5.0,morning,overwhelmed,neutral_face,conflicted,restless,4,15,3.0
91,The cafe track was fine. I feel steady not especially better or worse.,cafe,20,7.0,3.0,3.0,evening,neutral,neutral_face,clear,neutral,1,13,3.0
92,The forest track was fine I feel steady not especially better or worse.,forest,15,5.5,2.0,3.0,morning,overwhelmed,neutral_face,vague,neutral,1,13,3.0
93,Even with the cafe session my mind kept jumping between tasks.,cafe,10,5.0,3.0,5.0,morning,restless,tired_face,conflicted,restless,4,11,2.0
94,I tried to relax during the rain ambience yet my thoughts kept racing.,rain,20,6.0,3.0,4.0,morning,overwhelmed,,conflicted,restless,4,13,3.0
95,I noticed the rain sounds but emotionally I still feel mostly the same.,rain,30,6.5,3.0,3.0,night,overwhelmed,neutral_face,conflicted,neutral,2,13,3.0
96,I couldn't really settle into the forest track; I kept thinking of everything at once.,forest,35,6.0,3.0,3.0,afternoon,restless,neutral_face,clear,restless,4,15,3.0
97,The mountain session made me calmer but part of me still feels uneasy.,mountain,15,6.0,3.0,3.0,afternoon,neutral,neutral_face,clear,mixed,2,13,3.0
98,The ocean session helped a little though I still feel pulled in too many directions.,ocean,20,4.5,2.0,5.0,afternoon,mixed,neutral_face,clear,restless,4,15,3.0
99,I feel mentally clear after the rain session and ready to tackle one thing at a time.,rain,18,6.0,4.0,1.0,evening,overwhelmed,neutral_face,clear,focused,2,17,3.0
100,The forest track helped a little though something still feels off underneath.,forest,10,5.5,4.0,2.0,evening,calm,neutral_face,clear,mixed,2,12,3.0
101,After the forest sounds I feel better than before but not completely okay.,forest,15,7.0,2.0,2.0,afternoon,restless,,clear,mixed,4,13,3.0
102,I feel lighter after the forest sounds like my mind finally softened.,forest,12,7.0,3.0,1.0,afternoon,neutral,,clear,calm,2,12,3.0
103,I tried to relax during the mountain ambience yet my thoughts kept racing.,mountain,12,6.0,3.0,3.0,night,restless,tense_face,conflicted,restless,3,13,3.0
104,After the rain track I feel peaceful and less pulled in every direction.,rain,15,8.0,3.0,2.0,morning,calm,neutral_face,conflicted,calm,3,13,3.0
105,The rain session wasn't enough today; everything still feels heavy and too much.,rain,15,5.5,2.0,5.0,night,calm,,conflicted,overwhelmed,4,13,3.0
106,Even with the cafe session my mind kept jumping between tasks.,cafe,35,5.5,3.0,3.0,morning,,tense_face,vague,restless,5,11,2.0
107,The ocean ambience helped me stop drifting and concentrate on my next steps.,ocean,12,7.0,4.0,2.0,morning,restless,calm_face,vague,focused,3,13,3.0
108,I liked the cafe session but my mood is still split between calm and tension.,cafe,18,7.0,3.0,4.0,night,calm,neutral_face,vague,mixed,4,15,3.0
109,I wasn't expecting much but the forest session made me feel quiet inside.,forest,25,7.5,3.0,3.0,morning,focused,happy_face,clear,calm,3,13,3.0
110,I came in distracted but I left the cafe session with a sharper mind.,cafe,15,7.0,3.0,2.0,evening,calm,happy_face,vague,focused,3,14,3.0
111,After the forest sounds I feel better than before but not completely okay.,forest,25,5.0,2.0,3.0,morning,neutral,calm_face,clear,mixed,2,13,3.0
112,After the rain track I feel peaceful and less pulled in every direction.,rain,10,6.5,4.0,1.0,morning,calm,calm_face,clear,calm,3,13,3.0
113,I wanted the mountain to calm me but today my stress feels bigger than the session.,mountain,20,4.5,1.0,4.0,morning,,tired_face,conflicted,overwhelmed,4,16,3.0
114,I feel lighter after the mountain sounds like my mind finally softened.,mountain,25,6.0,4.0,3.0,night,overwhelmed,calm_face,clear,calm,4,12,3.0
120,after the mountain track i feel peaceful and less pulled in every direction.,mountain,25,8.0,3.0,3.0,evening,overwhelmed,calm_face,clear,calm,3,13,3.0
122,At one point it felt like a normal moment even if only briefly.,forest,25,4.0,2.0,4.0,evening,restless,tense_face,clear,neutral,1,13,3.0
123,For some reason teh pressure didn't really go away for a moment.,forest,8,7.0,1.0,5.0,evening,mixed,tense_face,conflicted,overwhelmed,2,12,3.0
125,At one point it felt like a normal moment but it didn't last long.,ocean,20,8.0,2.0,3.0,morning,focused,tense_face,vague,neutral,3,14,3.0
126,Gradually things felt more peaceful so I sat with that feeling.,ocean,15,5.0,3.0,2.0,afternoon,mixed,tense_face,conflicted,calm,5,11,2.0
127,I noticed teh pressure didn't really go away so I sat with that feeling.,cafe,25,4.0,1.0,2.0,afternoon,mixed,calm_face,vague,overwhelmed,4,14,3.0
128,At one point teh session passed quietly even if only briefly.,mountain,20,8.0,3.0,3.0,morning,restless,tired_face,clear,neutral,3,11,2.0
129,At one point nothing really changed and I wasn't expecting that.,ocean,12,5.0,5.0,5.0,morning,neutral,calm_face,clear,neutral,3,11,2.0
130,After a few minutes I couldn't sit still mentally for a moment.,ocean,8,8.0,2.0,2.0,night,neutral,happy_face,conflicted,restless,4,12,3.0
131,By the end I could finally concentrate and I tried to notice it.,cafe,18,7.0,1.0,2.0,afternoon,calm,happy_face,conflicted,focused,2,13,3.0
132,After a few minutes nothing really changed which surprised me.,ocean,8,8.0,2.0,3.0,night,focused,none,conflicted,neutral,5,10,2.0
133,honestly i couldn't relax much so i sat with that feeling.,ocean,15,7.0,1.0,1.0,morning,overwhelmed,calm_face,clear,overwhelmed,2,11,2.0
134,honestly i started planning my day and i tried to notice it.,cafe,8,7.0,5.0,1.0,morning,mixed,calm_face,clear,focused,2,12,3.0
135,Honestly I organized my ideas better so I sat with that feeling.,mountain,8,7.0,3.0,4.0,evening,overwhelmed,none,conflicted,focused,4,12,3.0
136,During the session I started planning my day which surprised me.,ocean,8,4.0,5.0,4.0,afternoon,calm,calm_face,clear,focused,1,11,2.0
137,By the end I didn't notice strong emotions and I just observed it.,forest,8,8.0,1.0,4.0,evening,restless,none,vague,neutral,2,13,3.0
138,Strangely I kept thinking about other tasks before moving on. ...,mountain,15,8.0,5.0,1.0,morning,neutral,tense_face,clear,restless,3,11,2.0
139,For some reason things felt more peaceful but it didn't last long.,ocean,25,8.0,1.0,5.0,evening,mixed,neutral_face,vague,calm,1,12,3.0
140,Strangely things felt more peaceful and I wasn't expecting that.,cafe,20,6.0,5.0,4.0,evening,calm,,vague,calm,3,10,2.0
141,for some reason my thoughts felt lighter and i wasn't expecting that.,forest,18,4.0,1.0,1.0,afternoon,neutral,,vague,calm,5,12,3.0
142,I noticed it felt like a normal moment which surprised me.,ocean,25,4.0,3.0,2.0,afternoon,mixed,happy_face,vague,neutral,5,11,2.0
143,By teh end I felt a little calmer but still distracted but it didn't last long.,ocean,12,7.0,2.0,3.0,afternoon,mixed,calm_face,vague,mixed,2,16,3.0
144,For some reason I could finally concentrate so I sat with that feeling.,mountain,12,4.0,3.0,3.0,night,mixed,happy_face,vague,focused,1,13,3.0
145,strangely the tension eased a bit and i wasn't expecting that.,rain,25,6.0,4.0,5.0,morning,overwhelmed,neutral_face,vague,calm,1,11,2.0
146,After a few minutes my mood shifted back and forth even if only briefly.,mountain,10,6.0,4.0,1.0,evening,neutral,calm_face,conflicted,mixed,3,14,3.0
147,I noticed the session passed quietly and I tried to notice it.,rain,20,7.0,2.0,5.0,evening,overwhelmed,calm_face,vague,neutral,3,12,3.0
148,Gradually my attention improved though I'm not sure why.,mountain,15,5.0,1.0,3.0,evening,calm,neutral_face,conflicted,focused,3,9,2.0
149,Strangely my thoughts became clearer which surprised me.,ocean,8,7.0,4.0,5.0,afternoon,mixed,tired_face,vague,focused,2,8,2.0
150,at first i organized my ideas better so i sat with that feeling.,forest,8,8.0,2.0,1.0,night,focused,none,conflicted,focused,5,13,3.0
151,Honestly things felt ordinary even if only briefly.,rain,10,7.0,4.0,3.0,afternoon,mixed,happy_face,vague,neutral,2,8,2.0
152,At first I kept thinking about other tasks so I sat with that feeling.,mountain,10,5.0,2.0,4.0,afternoon,mixed,tired_face,vague,restless,3,14,3.0
153,I noticed nothing really changed so I sat with that feeling.,mountain,20,4.0,5.0,4.0,night,calm,tense_face,vague,neutral,4,11,2.0
154,Gradually it felt like a normal moment before moving on. ...,cafe,12,7.0,2.0,4.0,afternoon,neutral,tired_face,conflicted,neutral,5,11,2.0
155,At first it helped slightly but not completely but it didn't last long.,forest,12,5.0,4.0,3.0,evening,overwhelmed,tired_face,vague,mixed,1,13,3.0
156,At one point everything still felt heavy though I'm not sure why.,forest,8,4.0,2.0,2.0,morning,neutral,neutral_face,vague,overwhelmed,1,12,3.0
157,honestly the session passed quietly though i'm not sure why.,ocean,8,5.0,3.0,1.0,morning,restless,tired_face,vague,neutral,2,10,2.0
158,By the end my breathing slowed down and I wasn't expecting that.,cafe,18,4.0,3.0,5.0,night,mixed,happy_face,conflicted,calm,3,12,3.0
159,Honestly my breathing slowed down and I tried to notice it.,mountain,20,5.0,4.0,2.0,evening,neutral,happy_face,vague,calm,4,11,2.0
160,During teh session teh pressure didn't really go away so I sat with that feeling.,cafe,10,7.0,5.0,5.0,night,restless,,vague,overwhelmed,2,15,3.0
161,For some reason the pressure didn't really go away though I'm not sure why.,ocean,18,4.0,5.0,2.0,morning,focused,tired_face,conflicted,overwhelmed,2,14,3.0
162,honestly it helped slightly but not completely which surprised me.,mountain,12,8.0,3.0,4.0,evening,overwhelmed,happy_face,vague,mixed,3,10,2.0
164,At first it felt like a normal moment and I wasn't expecting that. ...,rain,18,5.0,3.0,1.0,morning,neutral,neutral_face,conflicted,neutral,4,14,3.0
165,Gradually things felt more peaceful before moving on.,forest,12,7.0,1.0,1.0,night,overwhelmed,,conflicted,calm,1,8,2.0
166,Gradually I could finally concentrate and I just observed it.,ocean,18,8.0,5.0,2.0,night,overwhelmed,tense_face,conflicted,focused,4,10,2.0
167,Gradually my mind kept wandering for a moment.,cafe,20,5.0,3.0,1.0,afternoon,focused,calm_face,clear,restless,1,8,2.0
168,gradually i couldn't relax much and i wasn't expecting that.,mountain,25,7.0,1.0,2.0,evening,mixed,neutral_face,vague,overwhelmed,1,10,2.0
169,strangely the session passed quietly but it didn't last long.,ocean,20,8.0,3.0,4.0,morning,overwhelmed,none,vague,neutral,3,10,2.0
170,Honestly I didn't notice strong emotions and I just observed it.,cafe,18,6.0,1.0,1.0,afternoon,mixed,happy_face,conflicted,neutral,1,11,2.0
172,I noticed I organized my ideas better and I wasn't expecting that.,rain,8,7.0,1.0,3.0,evening,restless,tired_face,conflicted,focused,1,12,3.0
173,honestly it helped slightly but not completely which surprised me.,cafe,20,7.0,1.0,2.0,evening,neutral,tense_face,vague,mixed,4,10,2.0
174,Gradually my thoughts felt lighter but it didn't last long.,forest,10,4.0,4.0,1.0,afternoon,overwhelmed,tense_face,conflicted,calm,3,10,2.0
175,Honestly my mind felt crowded before moving on.,mountain,18,5.0,1.0,3.0,night,restless,happy_face,vague,overwhelmed,1,8,2.0
176,Gradually I felt distracted before moving on.,rain,12,8.0,5.0,4.0,night,restless,none,clear,restless,5,7,2.0
177,I noticed everything still felt heavy though I'm not sure why.,ocean,15,5.0,4.0,1.0,afternoon,neutral,tense_face,clear,overwhelmed,4,11,2.0
178,Honestly my breathing slowed down but it didn't last long.,cafe,15,6.0,3.0,5.0,night,mixed,,vague,calm,5,10,2.0
179,Honestly I felt mentally drained which surprised me.,rain,12,5.0,1.0,4.0,morning,mixed,calm_face,vague,overwhelmed,2,8,2.0
181,Honestly my mood shifted back and forth but it didn't last long.,ocean,20,4.0,4.0,3.0,afternoon,calm,tense_face,conflicted,mixed,3,12,3.0
183,After a few minutes the tension eased a bit before moving on.,cafe,10,8.0,3.0,2.0,afternoon,neutral,none,conflicted,calm,2,12,3.0
186,For some reason things felt more peaceful for a moment.,mountain,20,5.0,4.0,1.0,evening,neutral,calm_face,conflicted,calm,4,10,2.0
188,Strangely I couldn't relax much and I just observed it.,cafe,12,4.0,3.0,2.0,night,overwhelmed,tense_face,clear,overwhelmed,3,10,2.0
190,At one point I started planning my day for a moment.,forest,10,8.0,1.0,3.0,afternoon,focused,neutral_face,clear,focused,1,11,2.0
191,For some reason I started planning my day for a moment. ...,forest,20,7.0,5.0,1.0,morning,overwhelmed,tense_face,conflicted,focused,5,12,3.0
192,at one point my thoughts felt lighter for a moment.,mountain,18,6.0,4.0,1.0,morning,overwhelmed,tired_face,conflicted,calm,1,10,2.0
193,At first everything still felt heavy though I'm not sure why.,mountain,20,8.0,5.0,3.0,night,neutral,tired_face,conflicted,overwhelmed,5,11,2.0
194,At first I felt mentally drained so I sat with that feeling.,forest,25,7.0,4.0,4.0,morning,restless,none,vague,overwhelmed,3,12,3.0
195,at first my thoughts became clearer and i just observed it.,mountain,25,5.0,5.0,1.0,evening,mixed,tense_face,conflicted,focused,4,11,2.0
197,gradually i felt mentally drained even if only briefly.,cafe,12,4.0,2.0,3.0,evening,restless,neutral_face,clear,overwhelmed,5,9,2.0
198,at first i felt a little calmer but still distracted which surprised me.,mountain,15,6.0,2.0,3.0,evening,mixed,happy_face,conflicted,mixed,1,13,3.0
199,Strangely the tension eased a bit which surprised me.,ocean,15,8.0,4.0,4.0,evening,focused,calm_face,vague,calm,4,9,2.0
200,Gradually my mind became quiet even if only briefly.,rain,18,4.0,1.0,2.0,evening,focused,tense_face,vague,calm,3,9,2.0
201,honestly my mind became quiet but it didn't last long.,forest,18,6.0,1.0,4.0,morning,overwhelmed,,clear,calm,3,10,2.0
202,Gradually I didn't notice strong emotions and I tried to notice it.,mountain,10,8.0,4.0,3.0,morning,overwhelmed,neutral_face,vague,neutral,5,12,3.0
203,At first I couldn't relax much and I wasn't expecting that.,cafe,8,8.0,1.0,5.0,afternoon,restless,none,clear,overwhelmed,2,11,2.0
204,During the session my thoughts felt lighter but it didn't last long.,ocean,10,7.0,4.0,5.0,night,mixed,happy_face,conflicted,calm,5,12,3.0
205,Strangely my thoughts were jumping around and I just observed it.,rain,18,4.0,3.0,5.0,morning,restless,calm_face,clear,restless,3,11,2.0
206,At first I felt distracted for a moment.,forest,25,4.0,4.0,5.0,afternoon,restless,happy_face,clear,restless,1,8,2.0
207,For some reason everything still felt heavy even if only briefly.,forest,15,8.0,5.0,5.0,afternoon,restless,tense_face,vague,overwhelmed,4,11,2.0
208,After a few minutes I kept thinking about other tasks and I just observed it.,cafe,12,8.0,2.0,3.0,morning,neutral,tense_face,vague,restless,4,15,3.0
209,At first I could finally concentrate even if only briefly.,cafe,20,8.0,1.0,4.0,evening,calm,neutral_face,clear,focused,3,10,2.0
210,by the end my mind felt crowded but it didn't last long.,ocean,25,8.0,5.0,1.0,evening,neutral,tired_face,clear,overwhelmed,2,12,3.0
211,Strangely I organized my ideas better which surprised me.,cafe,15,8.0,3.0,4.0,afternoon,neutral,tired_face,clear,focused,3,9,2.0
212,Honestly it helped slightly but not completely and I wasn't expecting that.,cafe,10,5.0,5.0,2.0,evening,calm,tense_face,conflicted,mixed,1,12,3.0
213,"At first some moments felt peaceful, others not and I just observed it.",cafe,10,7.0,1.0,2.0,night,restless,tired_face,clear,mixed,4,13,3.0
